Augusta	Maine	United States	North America
Montpelier	Vermont
Bratislava	Slovakia
Budapest	Hungary
Luxembourg	Luxembourg	Low Countries	Europe
Brussels	Belgium
Amsterdam	Netherlands
Ljubljana	Slovenia	Western Balkans	Europe
Zagreb	Croatia
Sarajevo	Bosnia and Herzegovina
Podgorica	Montenegro
Tirana	Albania
Belgrade	Serbia
Skopje	The Former Yugoslav Republic of Macedonia
Tallinn	Estonia	Baltic States	Europe
Riga	Latvia
Vilnius	Lithuania
Kaliningrad	Russian Federation
Minsk	Belarus
El Aaiun	Western Sahara	Northwest Africa	Africa
Rabat	Morocco
Algiers	Algeria
Tunis	Tunisia
Tripoli	Libya
Cairo	Egypt	Northeast Africa	Africa
Asmara	Eritrea
Djibouti	Djibouti
Khartoum	Sudan
Addis Ababa	Ethiopia
Mogadishu	Somalia
Nouakchott	Mauritania	West Africa	Africa
Dakar	Senegal
Banjul	Gambia
Bissau	Guinea-bissau
Bamako	Mali
Conakry	Guinea
Freetown	Sierra Leone
Monrovia	Liberia
Niamey	Niger
Abuja	Nigeria
Porto-novo	Benin
Lome	Togo
Accra	Ghana
Ouagadougou	Burkina Faso
Yamoussoukro	Côte D'Ivoire
N'Djamena	Chad	Central Africa	Africa
Bangui	Central African Republic
Kinshasa	Congo	
Brazzaville	Democratic Republic of Congo
Libreville	Gabon
Sao Tome	Sao Tome and Principe
Malabo	Equatorial Guinea
Yaounde	Cameroon
Kampala	Uganda	Central East Africa	Africa
Nairobi	Kenya
Kigali	Rwanda
Bujumbura	Burundi
Dodoma	Tanzania
Lilongwe	Malawi
Lusaka	Zambia
Luanda	Angola	Southern Africa	Africa
Windhoek	Namibia
Gaborone	Botswana
Harare	Zimbabwe
Maptuo	Mozambique
Mbabane	Swaziland
Maseru	Lesotho
Pretoria	South Africa
Antananarivo	Madagascar
Port Louis	Mauritius
Ankara	Turkey	Middle East
Nicosia	Cyprus
Beirut	Lebanon
Damascus	Syria
Jerusalem	Israel
Amman	Jordan
Baghdad	Iraq
Ar Riyad	Saudi Arabia
San'a	Yemen
Masqat	Oman
Tehran	Iran
Al Kuwayt	Kuwait
Abu Dhabi	United Arab Emirates
Ad Dawhah	Qatar
Al Manamah	Bahrain
Ashgabat	Turkmenistan
Kabul	Afghanistan
Islamabad	Pakistan
Abu Dhabi	United Arab Emirates	West and Southwest Asia	Asia
Amman	Jordan
Ankara	Turkey
Baghdad	Iraq
Baku	Azerbaijan
Beirut	Lebanon
Damascus	Syria
Doha	Qatar
Episkopi	Akrotiri and Dhekelia
Jerusalem	 Israel
Kabul	Afghanistan
Kuwait City	Kuwait
Manama	Bahrain
Muscat	Oman
Nicosia	Cyprus
Ramallah	Palestine
Riyadh	Saudi Arabia
Sana'a	Yemen
Tbilisi	Georgia
Tehran	Iran
Jerusalem	Israel
Yerevan	Armenia
Ashgabat	Turkmenistan	Central Asia	Asia
Astana	Kazakhstan
Bishkek	Kyrgyzstan
Dushanbe	Tajikistan
Tashkent	Uzbekistan
Beijing	China	East Asia	Asia
Pyongyang	North Korea
Seoul	South Korea
Tokyo	Japan
Taipei	Taiwan
Ulaanbaatar	Mongolia
Dhaka	Bangladesh	South Asia	Asia
Islamabad	Pakistan
Kathmandu	Nepal
Kotte	Sri Lanka
Malé	Maldives
New Delhi	India
Thimphu	Bhutan
Bandar Seri Begawan	Brunei	Southeast Asia	Asia
Bangkok	Thailand
Dili	East Timor
Hanoi	Vietnam
Jakarta	Indonesia
Kuala Lumpur	 Malaysia
Manila	Philippines
Naypyidaw	Burma
Phnom Penh	Cambodia
Port Moresby	Papua New Guinea
Singapore	Singapore
Vientiane	Laos
